No.,銘柄,ティッカー,セクター,終値,シグナル確率,判定,テクニカル,ファンダ,RSI,MACD判定,推奨保有,保有理由
50,OKI,6703.T,電気機器,3545.0,0.41125467987866376,-,+5 (強い),-,62.72584264215286,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
51,五洋建設,1893.T,建設業,1778.5,0.41042123085774346,-,-4 (弱い),-,48.27269156754138,下落の勢い加速,中期(20日),中期的な値動きを見極める
52,荏原製作所,6361.T,機械,5683.0,0.4093852997515771,-,+1 (中立),-,57.19780613128891,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
53,コンコルディア・フィナンシャルグループ,7186.T,銀行業,1623.5,0.40925274113351784,-,+1 (中立),-,56.723800551323194,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
54,ほくほくフィナンシャルグループ,8377.T,銀行業,6456.0,0.4088618248564224,-,+0 (中立),-,52.35162098682038,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
55,三井海洋開発,6269.T,機械,10040.0,0.40829906951790795,-,-2 (やや弱い),-,27.435891859868505,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
56,日本電子,6951.T,電気機器,7114.0,0.4067022649503294,-,+5 (強い),-,62.51151043743183,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
57,竹内製作所,6432.T,機械,6810.0,0.40669281684743785,-,-4 (弱い),-,46.59338296090658,下落の勢い加速,中期(20日),中期的な値動きを見極める
58,テルモ,4543.T,精密機器,2401.0,0.40644306307461664,-,+5 (強い),-,69.55074852380946,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
59,大成建設,1801.T,建設業,14010.0,0.40461953769694303,-,-4 (弱い),-,40.17335804871548,下落の勢い加速,中期(20日),中期的な値動きを見極める
60,住友金属鉱山,5713.T,非鉄金属,9093.0,0.40355254370741633,-,-5 (弱い),-,42.47276471728602,下落の勢い加速,中期(20日),中期的な値動きを見極める
61,日本コンセントリクスホールディングス,9072.T,陸運業,5933.0,0.4033784556935456,-,+6 (強い),-,62.3809065881917,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
62,日清紡ホールディングス,3105.T,繊維製品,2409.0,0.40078362077898816,-,+1 (中立),-,65.4569220287099,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
63,味の素,2802.T,食料品,5152.0,0.40027894903110206,-,+1 (中立),-,52.106327211325734,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
64,リンテック,7966.T,その他製品,5750.0,0.3997630274131068,-,+4 (強い),-,68.40221034504012,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
