No.,銘柄,ティッカー,セクター,終値,シグナル確率,判定,テクニカル,ファンダ,RSI,MACD判定,推奨保有,保有理由
1,ソフトバンクグループ,9984.T,情報・通信業,7491.0,0.5205785801032901,BUY,+5 (強い),-,66.25519766195882,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
2,キオクシアホールディングス,285A.T,電気機器,65850.0,0.5073340132157211,BUY,+5 (強い),-,74.74631931582418,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
3,メタプラネット,3350.T,情報・通信業,291.0,0.49490537720429384,-,-5 (弱い),-,41.51281750556981,下落の勢い加速,短期(5日),短期的な値動きに注目
4,日東紡績,3110.T,繊維製品,22670.0,0.48956523505123634,-,-2 (やや弱い),-,43.58802981662423,下落の勢い加速,短期(5日),短期的な値動きに注目
5,SBI新生銀行,8303.T,銀行業,1398.0,0.4847916868731181,-,-3 (やや弱い),-,30.23975237078838,下落の勢い加速,短期(5日),短期的な値動きに注目
6,富士通,6702.T,電気機器,3368.0,0.47430000145309137,-,+4 (強い),-,48.60018957470912,上昇の勢い加速,短期(5日),短期的な値動きに注目
7,フジクラ,5803.T,非鉄金属,4771.0,0.47369798210638947,-,-2 (やや弱い),-,42.53557178139418,下落の勢い加速,短期(5日),短期的な値動きに注目
8,シンフォニアテクノロジー,6507.T,電気機器,13750.0,0.47045967787079657,-,-3 (やや弱い),-,47.52753844361714,下落の勢い加速,短期(5日),短期的な値動きに注目
9,アルプスアルパイン,6770.T,電気機器,2171.0,0.461421158608496,-,+2 (やや強い),-,47.615038042883825,上昇の勢い加速,短期(5日),短期的な値動きに注目
10,SUMCO,3436.T,電気機器,3994.0,0.46024947674622513,-,+5 (強い),-,74.22620649345396,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
11,ルネサスエレクトロニクス,6723.T,電気機器,4500.0,0.45904974662240416,-,+5 (強い),-,68.79519028741956,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
12,信越化学工業,4063.T,化学,7758.0,0.45460588609798747,-,+4 (強い),-,67.01850973135242,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
13,トライアルホールディングス,141A.T,小売業,2865.0,0.45412945809614774,-,-2 (やや弱い),-,32.33374410925606,下落の勢い加速,短期(5日),短期的な値動きに注目
14,西武ホールディングス,9024.T,陸運業,2819.5,0.4456461532573576,-,-1 (中立),-,23.049933788352362,下落の勢い加速,短期(5日),売られすぎからの反発狙い
15,光通信,9435.T,情報・通信業,36550.0,0.44026810000568994,-,+0 (中立),-,39.453557713143795,上昇の勢い加速,短期(5日),短期的な値動きに注目
16,ネクソン,3659.T,情報・通信業,2240.0,0.43723711358321243,-,-2 (やや弱い),-,33.988057840347096,下落の勢い加速,短期(5日),短期的な値動きに注目
17,パナソニックホールディングス,6752.T,電気機器,3700.0,0.4371536925283298,-,+4 (強い),-,69.58424212219961,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
18,三機工業,1961.T,建設業,2316.0,0.4368328064756003,-,-4 (弱い),-,46.29268208864439,下落の勢い加速,短期(5日),短期的な値動きに注目
19,住友電気工業,5802.T,非鉄金属,12585.0,0.43637686588265434,-,+5 (強い),-,62.30648415570899,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
20,オリックス,8591.T,その他金融業,6237.0,0.4312134284654891,-,+6 (強い),-,68.43516388208914,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
21,扶桑化学工業,4368.T,化学,4275.0,0.43088636496338373,-,+6 (強い),-,61.79111157356771,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
22,イビデン,4062.T,電気機器,23000.0,0.43039917376539855,-,+3 (やや強い),-,78.96833908232627,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
23,大成建設,1801.T,建設業,14010.0,0.43012375288021215,-,-4 (弱い),-,40.17335804871548,下落の勢い加速,短期(5日),短期的な値動きに注目
24,エムスリー,2413.T,情報・通信業,1424.0,0.4297274381165759,-,+4 (強い),-,47.29144321594832,上昇の勢い加速,短期(5日),モメンタム良好、短期で利確狙い
25,あいちフィナンシャルグループ,7389.T,銀行業,1357.0,0.4296936463352521,-,-2 (やや弱い),-,37.806838353650484,下落の勢い加速,短期(5日),短期的な値動きに注目
26,レーザーテック,6920.T,電気機器,40130.0,0.42917384739452846,-,+1 (中立),-,49.22193754315293,下落の勢い加速,短期(5日),短期的な値動きに注目
27,日清紡ホールディングス,3105.T,繊維製品,2409.0,0.4287091113629474,-,+1 (中立),-,65.4569220287099,下落の勢い加速,短期(5日),短期的な値動きに注目
28,上村工業,4966.T,化学,23320.0,0.4273626625631399,-,-3 (やや弱い),-,48.72682289505967,下落の勢い加速,短期(5日),短期的な値動きに注目
29,SCREENホールディングス,7735.T,電気機器,11120.0,0.427341020684342,-,+1 (中立),-,53.724294890639804,下落の勢い加速,短期(5日),短期的な値動きに注目
