No.,銘柄,ティッカー,セクター,終値,シグナル確率,判定,テクニカル,ファンダ,RSI,MACD判定,推奨保有,保有理由
1,トライアルホールディングス,141A.T,小売業,2865.0,0.5839449535715622,BUY,-2 (やや弱い),-,32.33374410925606,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
2,ネクソン,3659.T,情報・通信業,2240.0,0.5045700310035318,BUY,-2 (やや弱い),-,33.988057840347096,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
3,みずほフィナンシャルグループ,8411.T,銀行業,7195.0,0.497807072938946,-,+5 (強い),-,55.729115125392326,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
4,光通信,9435.T,情報・通信業,36550.0,0.49206761404829014,-,+0 (中立),-,39.453557713143795,上昇の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
5,石油資源開発,1662.T,鉱業,1789.0,0.4720785081023015,-,-2 (やや弱い),-,32.07574229127587,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
6,アルプスアルパイン,6770.T,電気機器,2171.0,0.46921992721799316,-,+2 (やや強い),-,47.615038042883825,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
7,SBI新生銀行,8303.T,銀行業,1398.0,0.4652599761478893,-,-3 (やや弱い),-,30.23975237078838,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
8,上村工業,4966.T,化学,23320.0,0.4641508317668571,-,-3 (やや弱い),-,48.72682289505967,下落の勢い加速,中期(10日),中期的な値動きを見極める
9,住友ファーマ,4506.T,医薬品,1623.0,0.461757847746415,-,-1 (中立),-,45.15635080948363,上昇の勢い加速,中期(10日),中期的な値動きを見極める
10,日東紡績,3110.T,繊維製品,22670.0,0.4563394879913201,-,-2 (やや弱い),-,43.58802981662423,下落の勢い加速,中期(10日),中期的な値動きを見極める
11,ワークマン,7564.T,小売業,7980.0,0.45586209368728486,-,+4 (強い),-,65.62306137035168,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
12,メタプラネット,3350.T,情報・通信業,291.0,0.45302686164022826,-,-5 (弱い),-,41.51281750556981,下落の勢い加速,中期(10日),中期的な値動きを見極める
13,ソニーフィナンシャルグループ,8729.T,保険業,140.0,0.4417084995509427,-,-2 (やや弱い),-,43.41453031255392,下落止まりつつある,中期(10日),中期的な値動きを見極める
14,西武ホールディングス,9024.T,陸運業,2819.5,0.4416912310721539,-,-1 (中立),-,23.049933788352362,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
15,ゆうちょ銀行,7182.T,銀行業,3069.0,0.44107485483917636,-,+5 (強い),-,61.091185855032826,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
16,セイコーグループ,8050.T,精密機器,7070.0,0.441004842607127,-,+4 (強い),-,67.23499196929868,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
17,東映アニメーション,4816.T,情報・通信業,2366.0,0.4405473381152036,-,-5 (弱い),-,35.380391678261404,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
18,信越化学工業,4063.T,化学,7758.0,0.4400468288246809,-,+4 (強い),-,67.01850973135242,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
19,住友電気工業,5802.T,非鉄金属,12585.0,0.43673028810974523,-,+5 (強い),-,62.30648415570899,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
20,日本電気硝子,5214.T,ガラス・土石製品,6532.0,0.43622450750747055,-,-2 (やや弱い),-,40.523564216281684,下落の勢い加速,中期(10日),中期的な値動きを見極める
21,川崎汽船,9107.T,海運業,2520.0,0.43441392546153784,-,-5 (弱い),-,48.11376687068647,下落止まりつつある,中期(10日),中期的な値動きを見極める
22,群馬銀行,8334.T,銀行業,2260.0,0.43178903634982196,-,+1 (中立),-,53.388262586258996,下落止まりつつある,中期(10日),上昇トレンド継続中、勢いに乗る
23,日本電子,6951.T,電気機器,7114.0,0.43138230382287346,-,+5 (強い),-,62.51151043743183,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
24,サッポロホールディングス,2501.T,食料品,1593.0,0.42991214346357953,-,-4 (弱い),-,38.87455419449413,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
25,SCREENホールディングス,7735.T,電気機器,11120.0,0.42637131609629,-,+1 (中立),-,53.724294890639804,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
26,滋賀銀行,8366.T,銀行業,2002.0,0.42346910101461455,-,+1 (中立),-,48.51512553859466,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
27,りそなホールディングス,8308.T,銀行業,2039.5,0.4227698104805201,-,+1 (中立),-,53.42892151791113,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
28,あいちフィナンシャルグループ,7389.T,銀行業,1357.0,0.42211852252192195,-,-2 (やや弱い),-,37.806838353650484,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
29,ローム,6963.T,電気機器,5458.0,0.42119741317980164,-,+3 (やや強い),-,82.07470189888537,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
30,野村総合研究所,4307.T,情報・通信業,5022.0,0.4128928910026833,-,+5 (強い),-,63.85658302941137,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
31,トクヤマ,4043.T,化学,5107.0,0.4126883845915706,-,+4 (強い),-,67.4907645321088,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
32,第一生命ホールディングス,8750.T,保険業,1636.0,0.41254739403752305,-,+6 (強い),-,62.91256424202667,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
33,住友不動産,8830.T,不動産業,3717.0,0.412227555106609,-,-2 (やや弱い),-,32.077962673910804,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
34,INPEX,1605.T,鉱業,3604.0,0.409864730192123,-,-3 (やや弱い),-,33.56422047704572,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
35,ルネサスエレクトロニクス,6723.T,電気機器,4500.0,0.40967668494678705,-,+5 (強い),-,68.79519028741956,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
36,コンコルディア・フィナンシャルグループ,7186.T,銀行業,1623.5,0.4086111016057325,-,+1 (中立),-,56.723800551323194,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
37,三井金属鉱業,5706.T,非鉄金属,51630.0,0.4080032010534033,-,+3 (やや強い),-,60.00546664747291,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
38,SANKYO,6417.T,機械,1613.5,0.40765327882733826,-,+0 (中立),-,23.709512927871884,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
39,日清紡ホールディングス,3105.T,繊維製品,2409.0,0.4073500030770517,-,+1 (中立),-,65.4569220287099,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
40,大栄環境,9336.T,サービス業,3935.0,0.40712737142587563,-,+1 (中立),-,48.01557099947086,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
41,ほくほくフィナンシャルグループ,8377.T,銀行業,6456.0,0.4066161821127865,-,+0 (中立),-,52.35162098682038,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
42,大成建設,1801.T,建設業,14010.0,0.405818252292441,-,-4 (弱い),-,40.17335804871548,下落の勢い加速,中期(10日),中期的な値動きを見極める
43,パナソニックホールディングス,6752.T,電気機器,3700.0,0.40362400234910195,-,+4 (強い),-,69.58424212219961,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
44,フジミインコーポレーテッド,5384.T,化学,3960.0,0.40322567460579295,-,+5 (強い),-,71.5800260591968,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
45,三菱自動車工業,7211.T,輸送機器,371.5,0.40270283145237673,-,+7 (非常に強い),-,56.977310118340185,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
46,エムスリー,2413.T,情報・通信業,1424.0,0.40220235980523117,-,+4 (強い),-,47.29144321594832,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
47,レゾナック・ホールディングス,4004.T,化学,18720.0,0.4001374497910225,-,+7 (非常に強い),-,64.96743651791743,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
48,オリックス,8591.T,その他金融業,6237.0,0.39988222422526376,-,+6 (強い),-,68.43516388208914,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
49,味の素,2802.T,食料品,5152.0,0.39919400526417614,-,+1 (中立),-,52.106327211325734,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
50,大塚ホールディングス,4578.T,医薬品,11715.0,0.39909254743173606,-,+5 (強い),-,60.683888588275636,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
51,シチズン時計,7762.T,その他製品,2315.0,0.3988390999039474,-,+5 (強い),-,71.70721842778313,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
52,アドバンテスト,6857.T,電気機器,26170.0,0.3982604754815865,-,-3 (やや弱い),-,46.70293886879712,下落の勢い加速,中期(10日),中期的な値動きを見極める
53,フクダ電子,6960.T,電気機器,11670.0,0.3980393549643949,-,+6 (強い),-,63.673263505228036,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
54,スギホールディングス,7649.T,小売業,2752.5,0.3976391912464646,-,-2 (やや弱い),-,25.10122727673067,下落の勢い加速,中期(10日),調整局面、回復を待ってリターン狙い
55,三菱UFJフィナンシャル・グループ,8306.T,銀行業,2999.0,0.39743984506124275,-,+1 (中立),-,55.11713300346376,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
56,東京海上ホールディングス,8766.T,保険業,7111.0,0.39703093068393275,-,-2 (やや弱い),-,44.09261079518439,下落の勢い加速,中期(10日),中期的な値動きを見極める
57,太平洋セメント,5233.T,ガラス・土石製品,4530.0,0.39632989832273485,-,+4 (強い),-,74.11225741529321,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
58,パン・パシフィック・インターナショナルホールディングス,7532.T,小売業,878.2,0.3957812093342892,-,+0 (中立),-,48.35732176920016,上昇の勢い加速,中期(10日),中期的な値動きを見極める
59,デンカ,4061.T,化学,4477.0,0.3935353515750478,-,+1 (中立),-,68.69966300378499,上昇の勢い加速,中期(10日),中期的な値動きを見極める
60,八十二銀行,8359.T,銀行業,2323.5,0.39345900636908204,-,+1 (中立),-,57.29866949345378,下落の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
61,富士通,6702.T,電気機器,3368.0,0.3933771972141249,-,+4 (強い),-,48.60018957470912,上昇の勢い加速,中期(10日),上昇トレンド継続中、勢いに乗る
62,五洋建設,1893.T,建設業,1778.5,0.3924268147258523,-,-4 (弱い),-,48.27269156754138,下落の勢い加速,中期(10日),中期的な値動きを見極める
