No.,銘柄,ティッカー,セクター,終値,シグナル確率,判定,テクニカル,ファンダ,RSI,MACD判定,推奨保有,保有理由
1,西武ホールディングス,9024.T,陸運業,2819.5,0.6602321249831629,BUY,-1 (中立),-,23.049933788352362,下落の勢い加速,短期(1日),売られすぎからの反発狙い
2,東宝,9602.T,情報・通信業,1229.0,0.651923711799301,BUY,-2 (やや弱い),-,27.350272809131653,下落の勢い加速,短期(1日),売られすぎからの反発狙い
3,PowerX,485A.T,電気機器,3855.0,0.6426940574009471,BUY,+2 (やや強い),-,49.90623833968163,下落の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
4,イオン,8267.T,小売業,1391.5,0.621236222283978,BUY,+2 (やや強い),-,31.04017344571963,上昇の勢い加速,短期(1日),モメンタム良好、短期で利確狙い
5,三菱自動車工業,7211.T,輸送機器,371.5,0.6147986589905003,BUY,+7 (非常に強い),-,56.977310118340185,上昇の勢い加速,短期(1日),モメンタム良好、短期で利確狙い
6,MonotaRO,3064.T,情報・通信業,1889.0,0.5599907909532649,BUY,+5 (強い),-,50.94660316370223,上昇の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
7,JX金属,5016.T,鉱業,3929.0,0.5518664491290072,BUY,-2 (やや弱い),-,41.713134203754,下落の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
8,明電舎,6508.T,電気機器,10070.0,0.5464432978286143,BUY,+2 (やや強い),-,54.23058579535509,下落の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
9,SBI新生銀行,8303.T,銀行業,1398.0,0.5441630545434153,BUY,-3 (やや弱い),-,30.23975237078838,下落の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
10,日本製鋼所,5631.T,機械,7669.0,0.5430337916845147,BUY,-3 (やや弱い),-,34.36359567932888,下落の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
11,アストロスケールホールディングス,186A.T,サービス業,2739.0,0.5382161807324375,BUY,+5 (強い),-,73.6935625655592,上昇の勢い加速,短期(1日),モメンタム良好、短期で利確狙い
12,シスメックス,6869.T,精密機器,1397.0,0.536966582885275,BUY,+3 (やや強い),-,52.94780948426728,上昇の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
13,ソニーフィナンシャルグループ,8729.T,保険業,140.0,0.5254000388319272,BUY,-2 (やや弱い),-,43.41453031255392,下落止まりつつある,短期(1日),シグナル確率が高く短期で上昇期待
14,古河電気工業,5801.T,非鉄金属,52060.0,0.5237222080437812,BUY,+1 (中立),-,54.24272049574683,下落の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
15,スギホールディングス,7649.T,小売業,2752.5,0.5232151698673801,BUY,-2 (やや弱い),-,25.10122727673067,下落の勢い加速,短期(1日),売られすぎからの反発狙い
16,SANKYO,6417.T,機械,1613.5,0.5214846519065414,BUY,+0 (中立),-,23.709512927871884,下落の勢い加速,短期(1日),売られすぎからの反発狙い
17,カプコン,9697.T,情報・通信業,3016.0,0.503574259105197,BUY,-3 (やや弱い),-,37.262548650117154,下落の勢い加速,短期(1日),シグナル確率が高く短期で上昇期待
