No.,銘柄,ティッカー,セクター,終値,シグナル確率,判定,テクニカル,ファンダ,RSI,MACD判定,推奨保有,保有理由
1,NTT,9432.T,情報・通信業,149.5,0.8859142120147604,BUY,-4 (弱い),-,41.972377646870875,下落止まりつつある,長期(60日),長期的な成長に期待
2,ソニーフィナンシャルグループ,8729.T,保険業,140.0,0.839443669105097,BUY,-2 (やや弱い),-,43.41453031255392,下落止まりつつある,長期(60日),長期的な成長に期待
3,レゾナック・ホールディングス,4004.T,化学,18720.0,0.6612534969146274,BUY,+7 (非常に強い),-,64.96743651791743,上昇の勢い加速,長期(60日),パーフェクトオーダー、強い上昇トレンド
4,沖縄セルラー電話,9436.T,情報・通信業,3550.0,0.6143452999040568,BUY,+5 (強い),-,56.09535012001716,上昇の勢い加速,長期(60日),パーフェクトオーダー、強い上昇トレンド
5,光通信,9435.T,情報・通信業,36550.0,0.6132376399913485,BUY,+0 (中立),-,39.453557713143795,上昇の勢い加速,長期(60日),長期的な成長に期待
6,東京電力ホールディングス,9501.T,電力・ガス業,564.7,0.6044468753510157,BUY,-4 (弱い),-,43.12650433580228,下落の勢い加速,長期(60日),長期的な成長に期待
7,コクヨ,7984.T,その他製品,821.1,0.5829939441257127,BUY,+3 (やや強い),-,50.36985161338162,上昇の勢い加速,長期(60日),トレンドが明確、長期保有で利益拡大
8,宝ホールディングス,2531.T,食料品,2227.0,0.56568135934577,BUY,+3 (やや強い),-,79.72382845377197,上昇の勢い加速,長期(60日),パーフェクトオーダー、強い上昇トレンド
9,パン・パシフィック・インターナショナルホールディングス,7532.T,小売業,878.2,0.5437463776666722,BUY,+0 (中立),-,48.35732176920016,上昇の勢い加速,長期(60日),トレンドが明確、長期保有で利益拡大
10,因幡電産,9934.T,卸売業,2780.0,0.541712248345002,BUY,+5 (強い),-,56.78974195235024,上昇の勢い加速,長期(60日),パーフェクトオーダー、強い上昇トレンド
11,NIPPON EXPRESSホールディングス,9147.T,陸運業,5259.0,0.5410758245008989,BUY,+3 (やや強い),-,85.15635297107298,上昇の勢い加速,長期(60日),パーフェクトオーダー、強い上昇トレンド
12,アコム,8572.T,その他金融業,467.5,0.5286802299686123,BUY,-4 (弱い),-,45.86306425380535,下落止まりつつある,長期(60日),長期的な成長に期待
13,フジミインコーポレーテッド,5384.T,化学,3960.0,0.5206622658344927,BUY,+5 (強い),-,71.5800260591968,上昇の勢い加速,長期(60日),パーフェクトオーダー、強い上昇トレンド
14,シチズン時計,7762.T,その他製品,2315.0,0.5171633605340799,BUY,+5 (強い),-,71.70721842778313,上昇の勢い加速,長期(60日),パーフェクトオーダー、強い上昇トレンド
15,東北電力,9506.T,電力・ガス業,1006.5,0.5169440104384158,BUY,-3 (やや弱い),-,35.31263262628768,下落止まりつつある,長期(60日),トレンドが明確、長期保有で利益拡大
